starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 09 19:25:59 2014	1402334759	250	350	600	349
Mon Jun 09 19:25:59 2014	1402334759	254	370	624	347
Mon Jun 09 19:25:59 2014	1402334759	252	381	633	374
Mon Jun 09 19:25:59 2014	1402334759	262	382	644	380
Mon Jun 09 19:25:59 2014	1402334759	265	381	646	380
Mon Jun 09 19:25:59 2014	1402334759	266	393	659	381
Mon Jun 09 19:25:59 2014	1402334759	265	402	667	396
Mon Jun 09 19:25:59 2014	1402334759	267	407	674	401
Mon Jun 09 19:25:59 2014	1402334759	267	410	677	405
Mon Jun 09 19:25:59 2014	1402334759	267	442	709	414
Mon Jun 09 19:25:59 2014	1402334759	267	443	710	441
Mon Jun 09 19:25:59 2014	1402334759	268	444	712	443
Mon Jun 09 19:25:59 2014	1402334759	268	447	715	445
Mon Jun 09 19:25:59 2014	1402334759	269	451	721	450
Mon Jun 09 19:25:59 2014	1402334759	269	453	722	448
Mon Jun 09 19:25:59 2014	1402334759	269	457	726	453
Mon Jun 09 19:25:59 2014	1402334759	269	462	732	457
Mon Jun 09 19:25:59 2014	1402334759	272	462	734	460
Mon Jun 09 19:25:59 2014	1402334759	279	462	740	461
Mon Jun 09 19:25:59 2014	1402334759	242	1314	1555	1312
Mon Jun 09 19:25:59 2014	1402334759	241	1317	1557	1315
Mon Jun 09 19:25:59 2014	1402334759	240	1319	1559	1318
Mon Jun 09 19:25:59 2014	1402334759	242	1319	1561	1318
Mon Jun 09 19:25:59 2014	1402334759	241	1322	1563	1321
Mon Jun 09 19:25:59 2014	1402334759	267	1305	1572	1303
Mon Jun 09 19:25:59 2014	1402334759	266	1308	1574	1306
Mon Jun 09 19:25:59 2014	1402334759	258	1317	1576	1316
Mon Jun 09 19:25:59 2014	1402334759	266	1336	1602	1310
Mon Jun 09 19:25:59 2014	1402334759	249	1356	1604	1354
Mon Jun 09 19:25:59 2014	1402334759	256	1350	1606	1349
