starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 08 21:01:06 2014	1402254066	0	55	55	55
Sun Jun 08 21:01:06 2014	1402254066	0	55	55	55
Sun Jun 08 21:01:15 2014	1402254075	0	56	56	55
Sun Jun 08 21:01:06 2014	1402254066	0	56	56	56
Sun Jun 08 21:01:06 2014	1402254066	0	57	57	56
Sun Jun 08 21:01:11 2014	1402254071	0	59	59	58
Sun Jun 08 21:01:15 2014	1402254075	0	59	59	59
Sun Jun 08 21:01:11 2014	1402254071	0	60	60	60
Sun Jun 08 21:01:12 2014	1402254072	0	60	60	60
Sun Jun 08 21:01:19 2014	1402254079	0	61	61	60
Sun Jun 08 21:01:06 2014	1402254066	0	62	62	61
Sun Jun 08 21:01:19 2014	1402254079	0	62	62	61
Sun Jun 08 21:01:06 2014	1402254066	0	63	63	63
Sun Jun 08 21:01:21 2014	1402254081	0	63	63	63
Sun Jun 08 21:01:06 2014	1402254066	0	63	63	63
Sun Jun 08 21:01:06 2014	1402254066	0	63	63	63
Sun Jun 08 21:01:19 2014	1402254079	0	63	63	63
Sun Jun 08 21:01:11 2014	1402254071	0	64	64	63
Sun Jun 08 21:01:21 2014	1402254081	0	64	64	63
Sun Jun 08 21:01:21 2014	1402254081	0	64	64	63
Sun Jun 08 21:01:11 2014	1402254071	0	64	64	64
Sun Jun 08 21:01:19 2014	1402254079	0	64	64	64
Sun Jun 08 21:01:19 2014	1402254079	0	65	65	64
Sun Jun 08 21:01:19 2014	1402254079	0	65	65	65
Sun Jun 08 21:00:41 2014	1402254041	0	66	66	65
Sun Jun 08 21:01:06 2014	1402254066	0	66	66	66
Sun Jun 08 21:01:19 2014	1402254079	0	66	66	66
Sun Jun 08 21:01:18 2014	1402254078	0	66	66	66
Sun Jun 08 21:01:19 2014	1402254079	0	66	66	66
Sun Jun 08 21:01:07 2014	1402254067	0	66	66	66
Sun Jun 08 21:01:18 2014	1402254078	0	66	66	66
Sun Jun 08 21:01:18 2014	1402254078	0	66	66	66
Sun Jun 08 21:01:15 2014	1402254075	0	66	66	66
Sun Jun 08 21:01:06 2014	1402254066	0	66	66	66
Sun Jun 08 21:01:21 2014	1402254081	0	66	66	66
Sun Jun 08 21:01:06 2014	1402254066	0	67	67	66
Sun Jun 08 21:01:06 2014	1402254066	0	67	67	66
Sun Jun 08 21:01:09 2014	1402254069	0	67	67	66
Sun Jun 08 21:01:21 2014	1402254081	0	67	67	66
Sun Jun 08 21:01:18 2014	1402254078	0	67	67	67
Sun Jun 08 21:01:06 2014	1402254066	0	67	67	67
Sun Jun 08 21:01:06 2014	1402254066	0	67	67	67
Sun Jun 08 21:01:18 2014	1402254078	0	68	68	67
Sun Jun 08 21:01:18 2014	1402254078	0	68	68	68
Sun Jun 08 21:01:14 2014	1402254074	0	68	68	68
Sun Jun 08 21:01:19 2014	1402254079	0	68	68	66
Sun Jun 08 21:01:14 2014	1402254074	0	68	68	68
Sun Jun 08 21:01:14 2014	1402254074	0	68	68	68
Sun Jun 08 21:01:06 2014	1402254066	0	69	69	68
Sun Jun 08 21:01:18 2014	1402254078	0	69	69	68
Sun Jun 08 21:01:14 2014	1402254074	0	69	69	68
Sun Jun 08 21:01:19 2014	1402254079	0	69	69	69
Sun Jun 08 21:01:11 2014	1402254071	0	69	69	68
Sun Jun 08 21:01:06 2014	1402254066	0	69	69	68
Sun Jun 08 21:01:06 2014	1402254066	0	69	69	68
Sun Jun 08 21:01:11 2014	1402254071	0	69	69	68
Sun Jun 08 21:01:18 2014	1402254078	0	69	69	68
Sun Jun 08 21:01:06 2014	1402254066	0	69	69	69
Sun Jun 08 21:00:39 2014	1402254039	0	69	69	69
Sun Jun 08 21:01:14 2014	1402254074	0	69	69	68
Sun Jun 08 21:01:11 2014	1402254071	0	70	70	69
Sun Jun 08 21:01:06 2014	1402254066	0	70	70	69
Sun Jun 08 21:01:12 2014	1402254072	0	70	70	69
