starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 09 17:29:19 2014	1402327759	0	401	401	111
Mon Jun 09 17:29:19 2014	1402327759	0	418	418	134
Mon Jun 09 17:29:25 2014	1402327765	0	520	520	71
Mon Jun 09 17:29:20 2014	1402327760	0	534	534	268
Mon Jun 09 17:29:28 2014	1402327768	0	535	535	100
Mon Jun 09 17:29:22 2014	1402327762	0	540	540	119
Mon Jun 09 17:29:20 2014	1402327760	0	547	547	298
Mon Jun 09 17:29:29 2014	1402327769	0	559	559	100
Mon Jun 09 17:29:25 2014	1402327765	0	559	559	172
Mon Jun 09 17:29:21 2014	1402327761	0	572	572	189
Mon Jun 09 17:29:25 2014	1402327765	0	573	573	101
Mon Jun 09 17:29:21 2014	1402327761	0	586	586	190
Mon Jun 09 17:29:21 2014	1402327761	0	586	586	193
Mon Jun 09 17:29:22 2014	1402327762	0	615	615	78
Mon Jun 09 17:29:26 2014	1402327766	0	625	625	219
Mon Jun 09 17:29:21 2014	1402327761	0	627	627	214
Mon Jun 09 17:29:35 2014	1402327775	0	642	642	131
Mon Jun 09 17:29:19 2014	1402327759	61	582	643	191
Mon Jun 09 17:29:19 2014	1402327759	65	579	644	221
Mon Jun 09 17:29:19 2014	1402327759	68	581	648	253
Mon Jun 09 17:29:25 2014	1402327765	0	649	649	114
Mon Jun 09 17:29:27 2014	1402327767	0	652	652	148
Mon Jun 09 17:29:19 2014	1402327759	60	597	658	157
Mon Jun 09 17:29:29 2014	1402327769	0	658	658	104
Mon Jun 09 17:29:38 2014	1402327778	0	659	659	114
Mon Jun 09 17:29:29 2014	1402327769	0	683	683	105
Mon Jun 09 17:29:28 2014	1402327768	0	691	691	112
Mon Jun 09 17:29:28 2014	1402327768	0	708	708	111
Mon Jun 09 17:29:22 2014	1402327762	0	717	717	99
Mon Jun 09 17:29:20 2014	1402327760	0	726	726	195
Mon Jun 09 17:29:34 2014	1402327774	0	733	733	179
Mon Jun 09 17:29:26 2014	1402327766	0	753	753	176
Mon Jun 09 17:29:29 2014	1402327769	0	764	764	149
Mon Jun 09 17:29:29 2014	1402327769	0	764	764	159
Mon Jun 09 17:29:22 2014	1402327762	0	774	774	115
Mon Jun 09 17:29:26 2014	1402327766	0	775	775	188
Mon Jun 09 17:29:34 2014	1402327774	0	776	776	179
Mon Jun 09 17:29:32 2014	1402327772	0	790	790	131
Mon Jun 09 17:29:34 2014	1402327774	0	792	792	186
Mon Jun 09 17:29:23 2014	1402327763	0	795	795	190
Mon Jun 09 17:29:36 2014	1402327776	0	800	800	149
Mon Jun 09 17:29:25 2014	1402327765	0	800	800	394
Mon Jun 09 17:29:24 2014	1402327764	0	807	807	200
Mon Jun 09 17:29:23 2014	1402327763	0	812	812	206
Mon Jun 09 17:29:26 2014	1402327766	0	812	812	188
Mon Jun 09 17:29:38 2014	1402327778	0	812	812	211
Mon Jun 09 17:29:26 2014	1402327766	0	815	815	189
Mon Jun 09 17:29:20 2014	1402327760	0	820	820	270
Mon Jun 09 17:29:32 2014	1402327772	0	826	826	186
Mon Jun 09 17:29:23 2014	1402327763	0	829	829	202
Mon Jun 09 17:29:25 2014	1402327765	0	829	829	444
Mon Jun 09 17:29:21 2014	1402327761	0	836	836	239
Mon Jun 09 17:29:36 2014	1402327776	0	840	840	176
Mon Jun 09 17:29:34 2014	1402327774	0	841	841	197
Mon Jun 09 17:29:29 2014	1402327769	0	841	841	190
Mon Jun 09 17:29:38 2014	1402327778	0	876	876	221
Mon Jun 09 17:29:33 2014	1402327773	0	878	878	264
Mon Jun 09 17:29:38 2014	1402327778	0	892	892	199
Mon Jun 09 17:29:33 2014	1402327773	0	895	895	229
Mon Jun 09 17:29:22 2014	1402327762	0	900	900	199
Mon Jun 09 17:29:22 2014	1402327762	0	916	916	600
Mon Jun 09 17:29:25 2014	1402327765	0	937	937	205
Mon Jun 09 17:29:33 2014	1402327773	0	937	937	200
Mon Jun 09 17:29:25 2014	1402327765	0	937	937	162
Mon Jun 09 17:29:35 2014	1402327775	0	938	938	215
Mon Jun 09 17:29:28 2014	1402327768	0	941	941	203
Mon Jun 09 17:29:24 2014	1402327764	0	951	951	539
Mon Jun 09 17:29:27 2014	1402327767	0	958	958	182
Mon Jun 09 17:29:20 2014	1402327760	0	971	971	561
Mon Jun 09 17:29:38 2014	1402327778	0	979	979	118
Mon Jun 09 17:29:29 2014	1402327769	0	982	982	114
Mon Jun 09 17:29:24 2014	1402327764	0	991	991	205
Mon Jun 09 17:29:38 2014	1402327778	0	994	994	125
Mon Jun 09 17:29:19 2014	1402327759	0	998	998	202
Mon Jun 09 17:29:31 2014	1402327771	0	1004	1004	184
Mon Jun 09 17:29:38 2014	1402327778	0	1006	1006	101
Mon Jun 09 17:29:38 2014	1402327778	0	1006	1006	119
Mon Jun 09 17:29:38 2014	1402327778	0	1017	1017	545
Mon Jun 09 17:29:23 2014	1402327763	0	1025	1025	233
Mon Jun 09 17:29:24 2014	1402327764	0	1026	1026	207
Mon Jun 09 17:29:26 2014	1402327766	0	1030	1030	187
Mon Jun 09 17:29:35 2014	1402327775	0	1051	1051	236
Mon Jun 09 17:29:30 2014	1402327770	0	1052	1052	213
Mon Jun 09 17:29:28 2014	1402327768	0	1055	1055	202
Mon Jun 09 17:29:32 2014	1402327772	0	1055	1055	212
Mon Jun 09 17:29:19 2014	1402327759	71	987	1058	284
Mon Jun 09 17:29:31 2014	1402327771	0	1065	1065	135
Mon Jun 09 17:29:29 2014	1402327769	0	1067	1067	496
Mon Jun 09 17:29:38 2014	1402327778	0	1068	1068	856
Mon Jun 09 17:29:23 2014	1402327763	0	1079	1079	213
Mon Jun 09 17:29:21 2014	1402327761	0	1084	1084	248
Mon Jun 09 17:29:32 2014	1402327772	0	1104	1104	108
Mon Jun 09 17:29:28 2014	1402327768	0	1107	1107	222
Mon Jun 09 17:29:38 2014	1402327778	0	1110	1110	122
Mon Jun 09 17:29:33 2014	1402327773	0	1119	1119	195
Mon Jun 09 17:29:38 2014	1402327778	0	1124	1124	222
Mon Jun 09 17:29:25 2014	1402327765	0	1173	1173	175
Mon Jun 09 17:29:19 2014	1402327759	74	1101	1175	297
Mon Jun 09 17:29:28 2014	1402327768	0	1193	1193	206
Mon Jun 09 17:29:26 2014	1402327766	0	1194	1194	198
Mon Jun 09 17:29:37 2014	1402327777	0	1197	1197	471
Mon Jun 09 17:29:31 2014	1402327771	0	1197	1197	115
Mon Jun 09 17:29:35 2014	1402327775	0	1202	1202	236
Mon Jun 09 17:29:32 2014	1402327772	0	1202	1202	135
Mon Jun 09 17:29:22 2014	1402327762	0	1223	1223	208
Mon Jun 09 17:29:34 2014	1402327774	0	1229	1229	208
Mon Jun 09 17:29:24 2014	1402327764	0	1237	1237	221
Mon Jun 09 17:29:24 2014	1402327764	0	1242	1242	208
Mon Jun 09 17:29:21 2014	1402327761	0	1242	1242	180
Mon Jun 09 17:29:30 2014	1402327770	0	1245	1245	587
Mon Jun 09 17:29:32 2014	1402327772	0	1247	1247	223
Mon Jun 09 17:29:27 2014	1402327767	0	1260	1260	207
Mon Jun 09 17:29:29 2014	1402327769	0	1261	1261	210
Mon Jun 09 17:29:35 2014	1402327775	0	1270	1270	211
Mon Jun 09 17:29:23 2014	1402327763	0	1272	1272	240
Mon Jun 09 17:29:22 2014	1402327762	0	1278	1278	206
Mon Jun 09 17:29:19 2014	1402327759	206	1075	1280	401
Mon Jun 09 17:29:26 2014	1402327766	0	1282	1282	203
Mon Jun 09 17:29:23 2014	1402327763	0	1291	1291	274
Mon Jun 09 17:29:35 2014	1402327775	0	1297	1297	227
Mon Jun 09 17:29:35 2014	1402327775	0	1310	1310	188
Mon Jun 09 17:29:25 2014	1402327765	0	1312	1312	83
Mon Jun 09 17:29:35 2014	1402327775	0	1316	1316	230
Mon Jun 09 17:29:34 2014	1402327774	0	1316	1316	205
Mon Jun 09 17:29:30 2014	1402327770	0	1324	1324	701
Mon Jun 09 17:29:20 2014	1402327760	0	1330	1330	550
Mon Jun 09 17:29:27 2014	1402327767	0	1330	1330	203
Mon Jun 09 17:29:24 2014	1402327764	0	1342	1342	219
Mon Jun 09 17:29:25 2014	1402327765	0	1345	1345	152
Mon Jun 09 17:29:28 2014	1402327768	0	1357	1357	486
Mon Jun 09 17:29:32 2014	1402327772	0	1359	1359	217
Mon Jun 09 17:29:33 2014	1402327773	0	1372	1372	271
Mon Jun 09 17:29:37 2014	1402327777	0	1384	1384	161
Mon Jun 09 17:29:32 2014	1402327772	0	1392	1392	158
Mon Jun 09 17:29:22 2014	1402327762	0	1405	1405	753
Mon Jun 09 17:29:25 2014	1402327765	0	1413	1413	171
Mon Jun 09 17:29:36 2014	1402327776	0	1418	1418	220
Mon Jun 09 17:29:22 2014	1402327762	0	1422	1422	258
Mon Jun 09 17:29:27 2014	1402327767	0	1440	1440	220
Mon Jun 09 17:29:23 2014	1402327763	0	1454	1454	260
Mon Jun 09 17:29:35 2014	1402327775	0	1459	1459	230
Mon Jun 09 17:29:32 2014	1402327772	0	1460	1460	616
Mon Jun 09 17:29:36 2014	1402327776	0	1460	1460	138
Mon Jun 09 17:29:23 2014	1402327763	0	1461	1461	243
Mon Jun 09 17:29:21 2014	1402327761	0	1462	1462	206
Mon Jun 09 17:29:33 2014	1402327773	0	1465	1465	256
Mon Jun 09 17:29:31 2014	1402327771	0	1474	1474	152
Mon Jun 09 17:29:35 2014	1402327775	0	1479	1479	94
Mon Jun 09 17:29:33 2014	1402327773	0	1485	1485	246
Mon Jun 09 17:29:34 2014	1402327774	0	1486	1486	196
Mon Jun 09 17:29:32 2014	1402327772	0	1491	1491	104
Mon Jun 09 17:29:23 2014	1402327763	0	1498	1498	206
Mon Jun 09 17:29:34 2014	1402327774	0	1499	1499	207
Mon Jun 09 17:29:19 2014	1402327759	191	1308	1499	394
Mon Jun 09 17:29:32 2014	1402327772	0	1508	1508	219
Mon Jun 09 17:29:34 2014	1402327774	0	1512	1512	195
Mon Jun 09 17:29:29 2014	1402327769	0	1515	1515	121
Mon Jun 09 17:29:32 2014	1402327772	0	1521	1521	602
Mon Jun 09 17:29:23 2014	1402327763	0	1525	1525	223
Mon Jun 09 17:29:26 2014	1402327766	0	1531	1531	223
Mon Jun 09 17:29:26 2014	1402327766	0	1532	1532	189
Mon Jun 09 17:29:25 2014	1402327765	0	1555	1555	172
Mon Jun 09 17:29:30 2014	1402327770	0	1556	1556	573
Mon Jun 09 17:29:23 2014	1402327763	0	1569	1569	199
Mon Jun 09 17:29:19 2014	1402327759	207	1367	1574	420
Mon Jun 09 17:29:33 2014	1402327773	0	1575	1575	272
Mon Jun 09 17:29:36 2014	1402327776	0	1583	1583	218
Mon Jun 09 17:29:24 2014	1402327764	0	1585	1585	199
Mon Jun 09 17:29:27 2014	1402327767	0	1588	1588	213
Mon Jun 09 17:29:32 2014	1402327772	0	1596	1596	220
Mon Jun 09 17:29:25 2014	1402327765	0	1600	1600	721
Mon Jun 09 17:29:27 2014	1402327767	0	1602	1602	876
Mon Jun 09 17:29:24 2014	1402327764	0	1610	1610	200
Mon Jun 09 17:29:34 2014	1402327774	0	1613	1613	199
Mon Jun 09 17:29:26 2014	1402327766	0	1615	1615	185
Mon Jun 09 17:29:24 2014	1402327764	0	1617	1617	213
Mon Jun 09 17:29:36 2014	1402327776	0	1617	1617	233
Mon Jun 09 17:29:24 2014	1402327764	0	1618	1618	187
Mon Jun 09 17:29:37 2014	1402327777	0	1624	1624	679
Mon Jun 09 17:29:27 2014	1402327767	0	1627	1627	197
Mon Jun 09 17:29:37 2014	1402327777	0	1631	1631	126
Mon Jun 09 17:29:27 2014	1402327767	0	1637	1637	217
Mon Jun 09 17:29:34 2014	1402327774	0	1647	1647	189
Mon Jun 09 17:29:21 2014	1402327761	0	1649	1649	210
Mon Jun 09 17:29:21 2014	1402327761	0	1661	1661	217
Mon Jun 09 17:29:32 2014	1402327772	0	1667	1667	213
Mon Jun 09 17:29:33 2014	1402327773	0	1670	1670	239
Mon Jun 09 17:29:29 2014	1402327769	0	1683	1683	203
Mon Jun 09 17:29:30 2014	1402327770	0	1684	1684	171
Mon Jun 09 17:29:28 2014	1402327768	0	1690	1690	106
Mon Jun 09 17:29:35 2014	1402327775	0	1700	1700	515
Mon Jun 09 17:29:19 2014	1402327759	0	1704	1704	170
Mon Jun 09 17:29:34 2014	1402327774	0	1705	1705	216
Mon Jun 09 17:29:32 2014	1402327772	0	1706	1706	188
Mon Jun 09 17:29:24 2014	1402327764	0	1706	1706	212
Mon Jun 09 17:29:33 2014	1402327773	0	1708	1708	214
Mon Jun 09 17:29:36 2014	1402327776	0	1714	1714	228
Mon Jun 09 17:29:34 2014	1402327774	0	1735	1735	199
Mon Jun 09 17:29:25 2014	1402327765	0	1736	1736	195
Mon Jun 09 17:29:20 2014	1402327760	0	1765	1765	288
Mon Jun 09 17:29:26 2014	1402327766	0	1773	1773	205
Mon Jun 09 17:29:32 2014	1402327772	0	1775	1775	214
Mon Jun 09 17:29:21 2014	1402327761	0	1781	1781	189
Mon Jun 09 17:29:36 2014	1402327776	0	1790	1790	206
Mon Jun 09 17:29:33 2014	1402327773	0	1809	1809	245
Mon Jun 09 17:29:34 2014	1402327774	0	1810	1810	210
Mon Jun 09 17:29:37 2014	1402327777	0	1823	1823	192
Mon Jun 09 17:29:27 2014	1402327767	0	1827	1827	552
Mon Jun 09 17:29:33 2014	1402327773	0	1836	1836	273
Mon Jun 09 17:29:28 2014	1402327768	0	1849	1849	726
Mon Jun 09 17:29:37 2014	1402327777	0	1851	1851	185
Mon Jun 09 17:29:22 2014	1402327762	0	1859	1859	195
Mon Jun 09 17:29:24 2014	1402327764	0	1866	1866	753
Mon Jun 09 17:29:33 2014	1402327773	0	1870	1870	227
Mon Jun 09 17:29:25 2014	1402327765	0	1875	1875	218
Mon Jun 09 17:29:24 2014	1402327764	0	1875	1875	192
Mon Jun 09 17:29:28 2014	1402327768	0	1876	1876	223
Mon Jun 09 17:29:19 2014	1402327759	125	1756	1881	1028
Mon Jun 09 17:29:22 2014	1402327762	0	1889	1889	96
Mon Jun 09 17:29:26 2014	1402327766	0	1894	1894	216
Mon Jun 09 17:29:24 2014	1402327764	0	1906	1906	209
Mon Jun 09 17:29:28 2014	1402327768	0	1914	1914	206
Mon Jun 09 17:29:25 2014	1402327765	0	1928	1928	191
Mon Jun 09 17:29:23 2014	1402327763	0	1935	1935	238
Mon Jun 09 17:29:22 2014	1402327762	0	1953	1953	175
Mon Jun 09 17:29:30 2014	1402327770	0	1965	1965	1559
Mon Jun 09 17:29:31 2014	1402327771	0	1966	1966	105
Mon Jun 09 17:29:26 2014	1402327766	0	1979	1979	192
Mon Jun 09 17:29:30 2014	1402327770	0	1983	1983	632
Mon Jun 09 17:29:20 2014	1402327760	0	1988	1988	205
Mon Jun 09 17:29:24 2014	1402327764	0	1993	1993	206
Mon Jun 09 17:29:19 2014	1402327759	144	1853	1997	962
Mon Jun 09 17:29:33 2014	1402327773	0	2003	2003	278
Mon Jun 09 17:29:36 2014	1402327776	0	2009	2009	176
Mon Jun 09 17:29:30 2014	1402327770	0	2013	2013	213
Mon Jun 09 17:29:36 2014	1402327776	0	2015	2015	564
Mon Jun 09 17:29:31 2014	1402327771	0	2020	2020	439
Mon Jun 09 17:29:36 2014	1402327776	0	2029	2029	227
Mon Jun 09 17:29:19 2014	1402327759	132	1909	2040	1012
Mon Jun 09 17:29:27 2014	1402327767	0	2042	2042	243
Mon Jun 09 17:29:37 2014	1402327777	0	2053	2053	568
Mon Jun 09 17:29:36 2014	1402327776	0	2054	2054	218
Mon Jun 09 17:29:24 2014	1402327764	0	2075	2075	219
Mon Jun 09 17:29:36 2014	1402327776	0	2075	2075	230
Mon Jun 09 17:29:25 2014	1402327765	0	2076	2076	90
Mon Jun 09 17:29:30 2014	1402327770	0	2076	2076	212
Mon Jun 09 17:29:37 2014	1402327777	0	2078	2078	433
Mon Jun 09 17:29:19 2014	1402327759	152	1928	2080	1103
Mon Jun 09 17:29:32 2014	1402327772	0	2082	2082	618
Mon Jun 09 17:29:36 2014	1402327776	0	2085	2085	226
Mon Jun 09 17:29:35 2014	1402327775	0	2099	2099	218
Mon Jun 09 17:29:37 2014	1402327777	0	2099	2099	1595
Mon Jun 09 17:29:30 2014	1402327770	0	2107	2107	242
Mon Jun 09 17:29:29 2014	1402327769	0	2134	2134	646
Mon Jun 09 17:29:31 2014	1402327771	0	2134	2134	224
Mon Jun 09 17:29:28 2014	1402327768	0	2151	2151	118
Mon Jun 09 17:29:25 2014	1402327765	0	2155	2155	191
Mon Jun 09 17:29:32 2014	1402327772	0	2157	2157	206
Mon Jun 09 17:29:19 2014	1402327759	147	2014	2161	1096
Mon Jun 09 17:29:27 2014	1402327767	0	2166	2166	231
Mon Jun 09 17:29:36 2014	1402327776	0	2180	2180	227
Mon Jun 09 17:29:25 2014	1402327765	0	2195	2195	192
Mon Jun 09 17:29:32 2014	1402327772	0	2200	2200	588
Mon Jun 09 17:29:19 2014	1402327759	212	2003	2215	1223
Mon Jun 09 17:29:25 2014	1402327765	0	2218	2218	175
Mon Jun 09 17:29:23 2014	1402327763	0	2219	2219	185
Mon Jun 09 17:29:31 2014	1402327771	0	2234	2234	769
Mon Jun 09 17:29:21 2014	1402327761	0	2234	2234	204
