starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 09 18:44:12 2014	1402332252	0	265	265	264
Mon Jun 09 18:44:12 2014	1402332252	0	265	265	261
Mon Jun 09 18:44:12 2014	1402332252	0	271	271	269
Mon Jun 09 18:44:12 2014	1402332252	0	280	280	255
Mon Jun 09 18:44:12 2014	1402332252	194	270	465	270
Mon Jun 09 18:44:12 2014	1402332252	195	276	471	272
Mon Jun 09 18:44:12 2014	1402332252	197	281	478	277
Mon Jun 09 18:44:12 2014	1402332252	198	285	483	281
Mon Jun 09 18:44:12 2014	1402332252	202	288	490	282
Mon Jun 09 18:44:12 2014	1402332252	202	298	500	289
Mon Jun 09 18:44:12 2014	1402332252	226	283	508	276
Mon Jun 09 18:44:12 2014	1402332252	246	270	516	265
Mon Jun 09 18:44:12 2014	1402332252	260	270	530	264
Mon Jun 09 18:44:12 2014	1402332252	0	1194	1194	1192
Mon Jun 09 18:44:12 2014	1402332252	202	1264	1465	1263
Mon Jun 09 18:44:12 2014	1402332252	199	1283	1482	1281
Mon Jun 09 18:44:12 2014	1402332252	201	1289	1491	1283
Mon Jun 09 18:44:12 2014	1402332252	200	1305	1505	1298
Mon Jun 09 18:44:12 2014	1402332252	199	1307	1506	1305
Mon Jun 09 18:44:12 2014	1402332252	249	1299	1548	1294
Mon Jun 09 18:44:12 2014	1402332252	0	1558	1558	274
Mon Jun 09 18:44:12 2014	1402332252	249	1331	1580	1301
Mon Jun 09 18:44:12 2014	1402332252	247	1334	1581	1333
Mon Jun 09 18:44:12 2014	1402332252	247	1346	1593	1336
Mon Jun 09 18:44:12 2014	1402332252	246	1349	1595	1338
Mon Jun 09 18:44:12 2014	1402332252	247	1351	1598	1350
Mon Jun 09 18:44:12 2014	1402332252	247	1359	1605	1353
Mon Jun 09 18:44:12 2014	1402332252	246	1363	1610	1360
Mon Jun 09 18:44:12 2014	1402332252	245	1384	1630	1370
Mon Jun 09 18:44:12 2014	1402332252	245	1399	1644	1386
Mon Jun 09 18:44:12 2014	1402332252	260	1414	1674	1413
Mon Jun 09 18:44:12 2014	1402332252	195	2670	2865	822
Mon Jun 09 18:44:12 2014	1402332252	201	5083	5284	1266
Mon Jun 09 18:44:12 2014	1402332252	196	5471	5666	5261
Mon Jun 09 18:44:12 2014	1402332252	201	5469	5670	1265
Mon Jun 09 18:44:12 2014	1402332252	224	5793	6017	5784
Mon Jun 09 18:44:12 2014	1402332252	224	5949	6173	5762
Mon Jun 09 18:44:12 2014	1402332252	195	6137	6332	5969
Mon Jun 09 18:44:12 2014	1402332252	197	6464	6661	5255
Mon Jun 09 18:44:12 2014	1402332252	226	6815	7042	5774
Mon Jun 09 18:44:12 2014	1402332252	198	7819	8017	5225
Mon Jun 09 18:44:12 2014	1402332252	227	9833	10061	9833
Mon Jun 09 18:44:12 2014	1402332252	197	10796	10993	5248
Mon Jun 09 18:44:12 2014	1402332252	199	12526	12725	5247
Mon Jun 09 18:44:12 2014	1402332252	225	12813	13037	5756
Mon Jun 09 18:44:12 2014	1402332252	229	22393	22622	2888
Mon Jun 09 18:44:12 2014	1402332252	200	23305	23505	1306
Mon Jun 09 18:44:12 2014	1402332252	198	40070	40268	40070
Mon Jun 09 18:44:12 2014	1402332252	200	53953	54153	1267
Mon Jun 09 18:44:12 2014	1402332252	0	61855	61855	0
