starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 08 19:04:31 2014	1402247071	0	48	48	48
Sun Jun 08 19:04:24 2014	1402247064	0	49	49	48
Sun Jun 08 19:04:26 2014	1402247066	0	49	49	48
Sun Jun 08 19:04:22 2014	1402247062	0	49	49	48
Sun Jun 08 19:04:23 2014	1402247063	0	49	49	48
Sun Jun 08 19:04:36 2014	1402247076	0	49	49	48
Sun Jun 08 19:04:19 2014	1402247059	0	49	49	48
Sun Jun 08 19:04:06 2014	1402247046	0	49	49	48
Sun Jun 08 19:04:38 2014	1402247078	0	49	49	49
Sun Jun 08 19:04:22 2014	1402247062	0	49	49	48
Sun Jun 08 19:04:23 2014	1402247063	0	49	49	49
Sun Jun 08 19:04:23 2014	1402247063	0	49	49	48
Sun Jun 08 19:05:34 2014	1402247134	0	49	49	48
Sun Jun 08 19:04:04 2014	1402247044	0	49	49	49
Sun Jun 08 19:04:14 2014	1402247054	0	49	49	49
Sun Jun 08 19:04:22 2014	1402247062	0	49	49	49
Sun Jun 08 19:04:03 2014	1402247043	0	49	49	48
Sun Jun 08 19:04:24 2014	1402247064	0	49	49	48
Sun Jun 08 19:04:22 2014	1402247062	0	49	49	49
Sun Jun 08 19:04:19 2014	1402247059	0	49	49	49
Sun Jun 08 19:04:18 2014	1402247058	0	49	49	48
Sun Jun 08 19:04:29 2014	1402247069	0	49	49	49
Sun Jun 08 19:04:31 2014	1402247071	0	49	49	49
Sun Jun 08 19:04:25 2014	1402247065	0	49	49	48
Sun Jun 08 19:04:25 2014	1402247065	0	49	49	49
Sun Jun 08 19:04:26 2014	1402247066	0	49	49	48
Sun Jun 08 19:04:07 2014	1402247047	0	49	49	49
Sun Jun 08 19:04:22 2014	1402247062	0	49	49	49
Sun Jun 08 19:04:34 2014	1402247074	0	49	49	49
Sun Jun 08 19:04:26 2014	1402247066	0	49	49	48
Sun Jun 08 19:04:17 2014	1402247057	0	49	49	49
Sun Jun 08 19:04:08 2014	1402247048	0	49	49	49
Sun Jun 08 19:04:28 2014	1402247068	0	49	49	49
Sun Jun 08 19:04:05 2014	1402247045	0	49	49	49
Sun Jun 08 19:04:38 2014	1402247078	0	49	49	49
Sun Jun 08 19:04:35 2014	1402247075	0	49	49	49
Sun Jun 08 19:04:28 2014	1402247068	0	49	49	49
Sun Jun 08 19:04:29 2014	1402247069	0	49	49	49
Sun Jun 08 19:04:23 2014	1402247063	0	49	49	48
Sun Jun 08 19:04:29 2014	1402247069	0	49	49	48
Sun Jun 08 19:04:20 2014	1402247060	0	49	49	49
Sun Jun 08 19:04:14 2014	1402247054	0	49	49	49
Sun Jun 08 19:04:29 2014	1402247069	0	49	49	49
