starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 09 19:27:19 2014	1402334839	0	0	0	3258
Mon Jun 09 19:27:30 2014	1402334850	0	0	0	387
Mon Jun 09 19:27:19 2014	1402334839	0	0	0	38855
Mon Jun 09 19:27:26 2014	1402334846	0	0	0	3351
Mon Jun 09 19:27:29 2014	1402334849	0	0	0	1287
Mon Jun 09 19:27:34 2014	1402334854	0	0	0	49972
Mon Jun 09 19:27:30 2014	1402334850	0	0	0	1928
Mon Jun 09 19:27:29 2014	1402334849	0	0	0	369
Mon Jun 09 19:27:31 2014	1402334851	0	0	0	47323
Mon Jun 09 19:27:18 2014	1402334838	0	0	0	3258
Mon Jun 09 19:27:31 2014	1402334851	0	0	0	1532
Mon Jun 09 19:27:29 2014	1402334849	0	0	0	602
Mon Jun 09 19:27:11 2014	1402334831	0	0	0	426
Mon Jun 09 19:27:24 2014	1402334844	0	0	0	45773
Mon Jun 09 19:27:30 2014	1402334850	0	0	0	47058
Mon Jun 09 19:27:30 2014	1402334850	0	0	0	418
Mon Jun 09 19:27:33 2014	1402334853	0	0	0	1546
Mon Jun 09 19:27:06 2014	1402334826	0	0	0	1627
Mon Jun 09 19:27:07 2014	1402334827	0	0	0	223
Mon Jun 09 19:27:26 2014	1402334846	0	0	0	358
Mon Jun 09 19:27:27 2014	1402334847	0	0	0	402
Mon Jun 09 19:27:24 2014	1402334844	0	0	0	3449
Mon Jun 09 19:27:28 2014	1402334848	0	0	0	754
Mon Jun 09 19:27:31 2014	1402334851	0	0	0	1657
Mon Jun 09 19:27:31 2014	1402334851	0	0	0	4002
Mon Jun 09 19:27:30 2014	1402334850	0	0	0	2039
Mon Jun 09 19:27:24 2014	1402334844	0	0	0	1625
Mon Jun 09 19:27:19 2014	1402334839	0	0	0	40023
Mon Jun 09 19:27:29 2014	1402334849	0	0	0	380
Mon Jun 09 19:27:30 2014	1402334850	0	0	0	1291
Mon Jun 09 19:27:24 2014	1402334844	0	0	0	1870
Mon Jun 09 19:27:29 2014	1402334849	0	0	0	1679
Mon Jun 09 19:27:06 2014	1402334826	0	0	0	2897
Mon Jun 09 19:27:12 2014	1402334832	0	0	0	239
Mon Jun 09 19:27:30 2014	1402334850	0	0	0	1525
Mon Jun 09 19:27:32 2014	1402334852	0	0	0	47893
Mon Jun 09 19:27:04 2014	1402334824	0	0	0	1338
Mon Jun 09 19:27:30 2014	1402334850	0	0	0	3433
Mon Jun 09 19:27:17 2014	1402334837	0	0	0	41753
Mon Jun 09 19:27:24 2014	1402334844	0	0	0	3444
Mon Jun 09 19:27:35 2014	1402334855	0	0	0	3982
