starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 09 16:03:59 2014	1402322639	0	87	87	54
Mon Jun 09 16:03:59 2014	1402322639	0	118	118	85
Mon Jun 09 16:03:59 2014	1402322639	0	121	121	88
Mon Jun 09 16:03:59 2014	1402322639	0	121	121	88
Mon Jun 09 16:03:59 2014	1402322639	0	121	121	88
Mon Jun 09 16:04:00 2014	1402322640	0	125	125	91
Mon Jun 09 16:03:59 2014	1402322639	0	125	125	91
Mon Jun 09 16:03:59 2014	1402322639	0	125	125	91
Mon Jun 09 16:03:59 2014	1402322639	0	125	125	91
Mon Jun 09 16:03:59 2014	1402322639	0	125	125	92
Mon Jun 09 16:03:59 2014	1402322639	0	128	128	95
Mon Jun 09 16:04:00 2014	1402322640	0	130	130	96
Mon Jun 09 16:04:00 2014	1402322640	0	131	131	97
Mon Jun 09 16:04:00 2014	1402322640	0	131	131	98
Mon Jun 09 16:04:00 2014	1402322640	0	131	131	97
Mon Jun 09 16:03:59 2014	1402322639	0	132	132	98
Mon Jun 09 16:04:00 2014	1402322640	0	132	132	98
Mon Jun 09 16:03:59 2014	1402322639	0	132	132	98
Mon Jun 09 16:03:59 2014	1402322639	0	132	132	99
Mon Jun 09 16:03:59 2014	1402322639	0	132	132	98
Mon Jun 09 16:04:00 2014	1402322640	0	132	132	99
Mon Jun 09 16:03:59 2014	1402322639	0	134	134	98
Mon Jun 09 16:04:00 2014	1402322640	0	138	138	105
Mon Jun 09 16:03:59 2014	1402322639	0	142	142	108
Mon Jun 09 16:03:59 2014	1402322639	0	145	145	111
Mon Jun 09 16:03:59 2014	1402322639	0	145	145	111
Mon Jun 09 16:04:00 2014	1402322640	0	152	152	118
Mon Jun 09 16:04:00 2014	1402322640	0	155	155	114
Mon Jun 09 16:04:00 2014	1402322640	0	156	156	122
Mon Jun 09 16:04:00 2014	1402322640	0	159	159	125
Mon Jun 09 16:03:59 2014	1402322639	0	159	159	125
Mon Jun 09 16:04:00 2014	1402322640	0	159	159	125
Mon Jun 09 16:04:00 2014	1402322640	0	176	176	143
Mon Jun 09 16:04:00 2014	1402322640	0	176	176	142
Mon Jun 09 16:03:58 2014	1402322638	48	211	259	54
Mon Jun 09 16:03:58 2014	1402322638	55	207	262	81
Mon Jun 09 16:03:58 2014	1402322638	58	207	265	113
Mon Jun 09 16:03:58 2014	1402322638	61	208	269	144
Mon Jun 09 16:04:00 2014	1402322640	0	290	290	128
Mon Jun 09 16:04:00 2014	1402322640	0	307	307	152
Mon Jun 09 16:04:00 2014	1402322640	0	307	307	132
Mon Jun 09 16:03:59 2014	1402322639	0	378	378	115
Mon Jun 09 16:04:00 2014	1402322640	0	421	421	124
Mon Jun 09 16:03:58 2014	1402322638	63	685	748	189
Mon Jun 09 16:03:58 2014	1402322638	64	979	1042	175
Mon Jun 09 16:03:59 2014	1402322639	0	1448	1448	159
